
2022/11/20 (01:12:50) | ===> btop++ v.1.2.13
2022/11/20 (01:12:50) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (01:13:36) | ===> btop++ v.1.2.13
2022/11/20 (01:13:36) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (02:01:50) | ===> btop++ v.1.2.13
2022/11/20 (02:01:50) | WARNING: Failed to join _runner thread on exit!

2022/11/21 (00:20:20) | ===> btop++ v.1.2.13
2022/11/21 (00:20:20) | WARNING: Failed to join _runner thread on exit!

2022/11/21 (00:54:07) | ===> btop++ v.1.2.13
2022/11/21 (00:54:07) | WARNING: Failed to join _runner thread on exit!

2022/11/23 (01:30:03) | ===> btop++ v.1.2.13
2022/11/23 (01:30:03) | WARNING: Failed to join _runner thread on exit!

2022/11/29 (01:50:32) | ===> btop++ v.1.2.13
2022/11/29 (01:50:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/11/29 (01:50:57) | ===> btop++ v.1.2.13
2022/11/29 (01:50:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/11/30 (14:14:33) | ===> btop++ v.1.2.13
2022/11/30 (14:14:33) | WARNING: Failed to join _runner thread on exit!

2022/11/30 (16:35:51) | ===> btop++ v.1.2.13
2022/11/30 (16:35:51) | WARNING: Failed to join _runner thread on exit!

2022/11/30 (16:57:30) | ===> btop++ v.1.2.13
2022/11/30 (16:57:30) | WARNING: Failed to join _runner thread on exit!

2022/11/30 (19:01:28) | ===> btop++ v.1.2.13
2022/11/30 (19:01:28) | WARNING: Failed to join _runner thread on exit!

2022/12/03 (18:58:17) | ===> btop++ v.1.2.13
2022/12/03 (18:58:17) | WARNING: Failed to join _runner thread on exit!

2022/12/03 (19:14:08) | ===> btop++ v.1.2.13
2022/12/03 (19:14:08) | WARNING: Failed to join _runner thread on exit!

2022/12/04 (15:09:57) | ===> btop++ v.1.2.13
2022/12/04 (15:09:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/12/04 (19:45:50) | ===> btop++ v.1.2.13
2022/12/04 (19:45:50) | WARNING: Failed to join _runner thread on exit!

2022/12/04 (19:48:16) | ===> btop++ v.1.2.13
2022/12/04 (19:48:16) | WARNING: Failed to join _runner thread on exit!
